YRS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID,CITY,STATE
198401-202011,8.7,8.5,8.5,9.3,8.5,7.5,6.8,6.6,7.1,8.3,9.0,8.8,8.1,94814,HOUGHTON LAKE,MI
198401-202012,10.5,10.2,10.1,10.2,8.9,7.9,7.1,6.7,7.2,8.6,9.9,10.1,8.9,14836,LANSING,MI
198401-202012,11.4,10.9,10.6,10.7,9.4,8.5,8.0,7.7,8.4,9.9,11.2,11.0,9.8,14840,MUSKEGON,MI
198401-202011,7.8,8.0,8.2,8.6,8.1,7.1,6.7,6.5,7.0,7.8,8.5,8.1,7.7,14847,SAULT STE. MARIE,MI
198401-202012,10.6,10.5,10.5,11.1,10.4,9.3,8.5,8.5,9.5,10.4,10.6,10.4,10.0,14913,DULUTH,MN
198401-202012,7.7,7.9,8.3,8.6,8.2,7.4,6.5,6.4,7.3,8.0,8.1,7.5,7.7,14918,INTERNATIONAL FALLS,
198401-202012,9.6,9.6,10.2,11.1,10.2,9.4,8.7,8.4,9.3,9.9,9.8,9.4,9.6,14922,MINNEAPOLIS-ST.PAUL,
198401-202012,13.4,13.2,13.3,13.6,12.5,11.2,9.6,9.2,10.5,11.9,13.2,13.0,12.0,14925,ROCHESTER,MN
198401-202012,8.5,8.5,9.0,9.7,9.0,7.9,6.9,6.6,7.6,8.5,8.7,8.2,8.3,14926,SAINT CLOUD,MN
198401-202012,7.2,7.5,7.6,7.2,6.1,5.2,4.6,4.5,5.3,5.5,6.1,6.8,6.1,03940,JACKSON,MS
198401-202012,6.8,7.3,7.3,6.8,5.7,4.9,4.5,4.3,5.0,5.1,5.8,6.4,5.8,13865,MERIDIAN,MS
198401-202012,7.4,7.9,8.0,7.4,6.3,5.4,4.9,4.9,5.7,5.7,6.6,7.1,6.4,93862,TUPELO,MS
198401-202012,10.4,10.5,11.2,11.2,9.2,8.3,7.5,7.4,8.0,9.3,10.4,10.2,9.5,03945,COLUMBIA,MO
