CityName,StateAbbreviation,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
PITTSBURGH,PA,152500.0,157900,161700,157500,156200,155600,156700,155100,156900,157300,160100,162300,166600,166700,165300.0,161700.0,161900.0,158300.0,162500.0,161000.0,166900.0,170300.0,174500.0,177500.0,182100.0,
ANAHEIM,CA,560800.0,570100,576200,576300,577400,581300,583700,583100,581500,579600,574500,577600,584100,587900,580900.0,576400.0,585200.0,593800.0,591800.0,587500.0,595500.0,604900.0,613600.0,609900.0,618800.0,629200.0
SANTA ANA,CA,495800.0,493500,490600,488300,492600,498000,514900,524100,524100,499000,495500,491300,500300,502000,515000.0,524200.0,520900.0,516100.0,518300.0,513200.0,522100.0,539800.0,560600.0,574700.0,568900.0,
COLUMBIA,SC,135900.0,140200,129000,129000,121300,121900,123400,132900,135200,136400,135800,137700,140200,137000,137100.0,137500.0,140300.0,140700.0,139800.0,138500.0,141400.0,146000.0,152500.0,153800.0,153700.0,
MARIETTA,GA,265900.0,263100,264700,259400,260900,257900,250500,253400,254300,266300,270000,275200,275600,269100,266500.0,262800.0,261600.0,265500.0,265100.0,277000.0,276500.0,291300.0,294200.0,301000.0,295800.0,
VANCOUVER,WA,317400.0,321200,323700,325700,324300,323300,321200,329900,335800,337100,335100,333400,337400,337800,339300.0,339300.0,340300.0,341200.0,345200.0,345500.0,346600.0,349500.0,354700.0,359900.0,366400.0,
SAINT LOUIS,MO,146600.0,140200,137800,134400,138200,133100,132300,135000,137200,135800,133700,132800,133800,136100,139500.0,139300.0,142400.0,143400.0,151000.0,145600.0,152400.0,148500.0,150500.0,149200.0,154300.0,
GREENSBORO,NC,144100.0,146400,146900,143600,143800,146500,144000,144500,146200,151200,152300,150000,158900,159300,164300.0,160000.0,161800.0,163300.0,156000.0,154200.0,151700.0,157500.0,158600.0,159300.0,164400.0,165500.0
LEXINGTON,KY,172500.0,171300,172900,173200,172700,171500,172500,171800,173200,178700,181200,181200,176300,175400,176200.0,176300.0,177500.0,176300.0,178500.0,177600.0,189900.0,194600.0,195400.0,194900.0,194600.0,201100.0
FORT WAYNE,IN,136800.0,135400,131500,128800,130600,132800,133900,133200,135400,138200,138700,139700,141600,144200,146400.0,145200.0,143300.0,140100.0,141400.0,145600.0,147800.0,150900.0,152700.0,156000.0,158400.0,158900.0
